scenario,position,attribute,attr1,attr2,attr3,attr4,attr5
loose_leaf_tea,1,caffeine_content,-50.0,0.0,0.0,0.0,0.0
loose_leaf_tea,2,leaf_size,0.0,48.0,0.0,0.0,0.0
loose_leaf_tea,3,oxidation_level,0.0,0.0,0.0,91.0,0.0
loose_leaf_tea,4,steeping_time,0.0,0.0,91.0,0.0,0.0
loose_leaf_tea,5,resteep_potential,0.0,0.0,0.0,0.0,0.0
cutting_board,1,board_thickness,-16.0,0.0,0.0,0.0,0.0
cutting_board,2,surface_area,0.0,-37.0,0.0,0.0,0.0
cutting_board,3,knife_mark_resistance,0.0,0.0,-2.0,0.0,0.0
cutting_board,4,grip_stability,0.0,0.0,0.0,0.0,-94.0
cutting_board,5,ease_of_cleaning,0.0,0.0,0.0,-94.0,0.0
knee_pads,1,padding_thickness,0.0,-51.0,0.0,0.0,0.0
knee_pads,2,strap_width,-51.0,0.0,0.0,0.0,0.0
knee_pads,3,ventilation_holes,0.0,0.0,-30.0,0.0,0.0
knee_pads,4,impact_rating,0.0,0.0,0.0,50.0,0.0
knee_pads,5,coverage_area,0.0,0.0,0.0,0.0,45.0
ice_cream,1,creaminess,0.0,-98.0,0.0,0.0,0.0
ice_cream,2,mix_in_density,-98.0,0.0,0.0,0.0,0.0
ice_cream,3,serving_size,0.0,0.0,39.0,0.0,0.0
ice_cream,4,flavor_intensity,0.0,0.0,0.0,19.0,0.0
ice_cream,5,smoothness,0.0,0.0,0.0,0.0,48.0
painters_tape,1,clean_removal_time,-11.0,0.0,0.0,0.0,0.0
painters_tape,2,uv_resistance,0.0,0.0,0.0,0.0,0.0
painters_tape,3,width,0.0,0.0,0.0,51.0,0.0
painters_tape,4,paint_bleed_resistance,0.0,0.0,51.0,0.0,0.0
painters_tape,5,roll_length,0.0,0.0,0.0,0.0,-50.0
olive_pitter,1,pitting_speed,-10.0,0.0,0.0,0.0,0.0
olive_pitter,2,splash_containment,0.0,0.0,-97.0,0.0,0.0
olive_pitter,3,pit_accuracy,0.0,-97.0,0.0,0.0,0.0
olive_pitter,4,olive_damage,0.0,0.0,0.0,-48.0,0.0
olive_pitter,5,handle_comfort,0.0,0.0,0.0,0.0,16.0
wood_burner,1,max_temperature,0.0,0.0,0.0,0.0,68.0
wood_burner,2,heat_up_time,0.0,26.0,0.0,0.0,0.0
wood_burner,3,tip_varieties,0.0,0.0,24.0,0.0,0.0
wood_burner,4,cord_length,0.0,0.0,0.0,50.0,0.0
wood_burner,5,temperature_stability,68.0,0.0,0.0,0.0,0.0
hotel,1,distance_to_city_center,0.0,65.0,0.0,0.0,0.0
hotel,2,room_size,65.0,0.0,0.0,0.0,0.0
hotel,3,guest_rating,0.0,0.0,46.0,0.0,0.0
hotel,4,noise_level,0.0,0.0,0.0,0.0,0.0
hotel,5,age_of_property,0.0,0.0,0.0,0.0,12.0
hot_glue_sticks,1,stick_length,32.0,0.0,0.0,0.0,0.0
hot_glue_sticks,2,holding_strength,0.0,0.0,0.0,-78.0,0.0
hot_glue_sticks,3,drying_time,0.0,0.0,22.0,0.0,0.0
hot_glue_sticks,4,flexibility_when_dry,0.0,-78.0,0.0,0.0,0.0
hot_glue_sticks,5,quantity_per_pack,0.0,0.0,0.0,0.0,50.0
scrunchie,1,scrunchie_diameter,0.0,52.0,0.0,0.0,0.0
scrunchie,2,elastic_strength,52.0,0.0,0.0,0.0,0.0
scrunchie,3,fabric_volume,0.0,0.0,-43.0,0.0,0.0
scrunchie,4,ruffle_depth,0.0,0.0,0.0,44.0,0.0
scrunchie,5,fabric_softness,0.0,0.0,0.0,0.0,-16.0
rfid_wallet,1,blocking_effectiveness,0.0,0.0,0.0,-50.0,0.0
rfid_wallet,2,card_capacity,0.0,50.0,0.0,0.0,0.0
rfid_wallet,3,expected_lifespan,0.0,0.0,16.0,0.0,0.0
rfid_wallet,4,thickness,-50.0,0.0,0.0,0.0,0.0
rfid_wallet,5,scratch_resistance,0.0,0.0,0.0,0.0,21.0
blush,1,color_intensity,38.0,0.0,0.0,0.0,0.0
blush,2,blend_time,0.0,6.0,0.0,0.0,0.0
blush,3,staying_power,0.0,0.0,50.0,0.0,0.0
blush,4,shimmer_level,0.0,0.0,0.0,0.0,79.0
blush,5,buildability,0.0,0.0,0.0,79.0,0.0
cocktail_kit,1,number_of_tools,50.0,0.0,0.0,0.0,0.0
cocktail_kit,2,shaker_capacity,0.0,20.0,0.0,0.0,0.0
cocktail_kit,3,number_of_recipes,0.0,0.0,0.0,0.0,-83.0
cocktail_kit,4,tool_durability,0.0,0.0,0.0,28.0,0.0
cocktail_kit,5,storage_case_size,0.0,0.0,-83.0,0.0,0.0
security_camera,1,resolution,31.0,0.0,0.0,0.0,0.0
security_camera,2,field_of_view,0.0,-32.0,0.0,0.0,0.0
security_camera,3,night_vision_range,0.0,0.0,0.0,0.0,-82.0
security_camera,4,storage_capacity,0.0,0.0,0.0,-2.0,0.0
security_camera,5,motion_detection_range,0.0,0.0,-82.0,0.0,0.0
shuffleboard_table,1,playing_surface_length,-8.0,0.0,0.0,0.0,0.0
shuffleboard_table,2,climate_adjustability,0.0,32.0,0.0,0.0,0.0
